тип	уровень	фраза	наш перевод	переводы Wiktionary	сверка перевода	буквально	наше определение	определение Wiktionary	сверка определения	пример	перевод примера	пример подтверждён	замечания
phrasal	A1	turn off	выключать	выключать; гасить; тушить; выключить; погасить	совпал	повернуть прочь	to make a machine stop working	Used other than figuratively or idiomatically: see turn,‎ off.	РАЗОШЁЛСЯ	Turn off the fan.	Выключи вентилятор.	да	определение Wiktionary про другое значение: Used other than figuratively or idiomatically: see turn,‎ off.
phrasal	A1	look at	смотреть на	светить	РАЗОШЁЛСЯ	смотреть у	to direct your eyes at something	To observe or watch.	РАЗОШЁЛСЯ	Look at us.	Посмотри на нас.	нет	определение Wiktionary про другое значение: To observe or watch.; перевод расходится с Wiktionary: светить; пример не подтверждён переводом — проверить значение
phrasal	A2	take off	снимать (одежду); взлетать	снимать; убирать; снять; убрать; взлетать	совпал	взять прочь	to remove a piece of clothing	To remove.	совпал	The owl takes off.	Сова взлетает.	да	
phrasal	A2	look for	искать	искать; поискать	совпал	смотреть для	to try to find something	To expect.	РАЗОШЁЛСЯ	I looked for you.	Я тебя искал.	да	определение Wiktionary про другое значение: To expect.
phrasal	A2	give up	сдаваться, бросать	сдаваться; сдавать; выдавать; сдаться; сдать	совпал	дать вверх	to stop trying	To surrender; to inform on (someone).	РАЗОШЁЛСЯ	Never give up.	Никогда не сдавайся.	да	определение Wiktionary про другое значение: To surrender; to inform on (someone).
phrasal	A2	hurry up	поторопиться	торопиться; спешить; поторопиться	совпал	спешить вверх	to move or act faster	To hurry; to increase the speed of doing something.	РАЗОШЁЛСЯ	Hurry up, Mom.	Мам, поторопись!	да	определение Wiktionary про другое значение: To hurry; to increase the speed of doing something.
phrasal	A2	get in	садиться (в машину), входить	входить; войти	совпал	взять внутрь	to enter a car or small space	Used other than figuratively or idiomatically: see get,‎ in.	РАЗОШЁЛСЯ	Now get in.	Теперь входи.	да	определение Wiktionary про другое значение: Used other than figuratively or idiomatically: see get,‎ in.
phrasal	A2	get out	выходить, вылезать	иди ты!	РАЗОШЁЛСЯ	взять наружу	to leave a car or a place	To leave or escape.	совпал	Get out of there.	Выходи оттуда.	да	перевод расходится с Wiktionary: иди ты!
phrasal	A2	get on	садиться (в автобус, поезд)	садиться; сесть; справляться; стареть; состариться	совпал	взять на	to board a bus or train	To board or mount (something), especially a vehicle.	совпал	Get on the bus.	Садись в автобус.	да	
phrasal	A2	get off	выходить (из автобуса, поезда)	спускаться; опускаться; спуститься; опуститься; снимать	совпал	взять прочь	to leave a bus or train	To move from being on top of (something) to not being on top of it.	РАЗОШЁЛСЯ	Get off my car.	Выходите из моей машины.	да	определение Wiktionary про другое значение: To move from being on top of (something) to not being on top of it.
phrasal	A2	put down	класть, опускать	ставить; поставить; усыплять; усыпить	РАЗОШЁЛСЯ	положить вниз	to place something on a surface	To insult, belittle, or demean.	РАЗОШЁЛСЯ	Put down the knife.	Положи нож.	нет	определение Wiktionary про другое значение: To insult, belittle, or demean.; перевод расходится с Wiktionary: ставить; поставить; усыплять; усыпить; пример не подтверждён переводом — проверить значение
phrasal	A2	pick up	поднимать; забирать	подбирать; поднимать; подобрать; поднять; улучшаться	совпал	поднять вверх	to lift something from the ground	To lift; to grasp and raise.	совпал	Pick up the bike.	Подними велосипед.	да	
phrasal	A2	write down	записывать	записывать; регистрировать; записать; зарегистрировать; понижать цену/стоимость	совпал	писать вниз	to write something on paper	Used other than figuratively or idiomatically: see write,‎ down.	совпал	Write down my number.	Запиши мой телефон.	да	
phrasal	A2	clean up	убирать, наводить порядок	убираться; прибираться	совпал	чистить вверх	to make a place tidy and clean	To make an area or a thing clean; to pick up a mess; to tidy.	совпал	Help me clean up.	Помоги мне с уборкой.	нет	пример не подтверждён переводом — проверить значение
phrasal	A2	wash up	мыть посуду	умываться; мыть руки; умыться; помыть руки; быть вынесенным на берег	совпал	мыть вверх	to wash the plates after a meal	To clean the utensils, dishes etc. used in preparing and eating a meal.	совпал	You washed up.	Ты помыл посуду.	да	
phrasal	A2	try on	примерять	примерять; примерить	совпал	пробовать на	to put clothes on to see if they fit	To test the look or fit of (a garment) by wearing it.	совпал	Try on this gown.	Примерь это платье.	да	
phrasal	A2	throw away	выбрасывать	выбрасывать; выкидывать; выбросить; выкинуть	совпал	бросить прочь	to get rid of something you do not need	To discard (trash, garbage, or the like), to toss out, to put in the trash.	РАЗОШЁЛСЯ	Throw away the rubbish.	Выбрось мусор.	да	определение Wiktionary про другое значение: To discard (trash, garbage, or the like), to toss out, to put in the trash.
phrasal	A2	run away	убегать	убегать; сматываться; убежать	совпал	бежать прочь	to leave a place quickly to escape	To flee by running.	РАЗОШЁЛСЯ	I'll run away.	Я убегу.	да	определение Wiktionary про другое значение: To flee by running.
phrasal	A2	grow up	расти, взрослеть	расти; вырастать; вырасти	совпал	расти вверх	to become an adult	To mature and become an adult.	совпал	I'm growing up.	Я расту.	да	
phrasal	A2	find out	узнавать, выяснять	узнавать; обнаружить; узнать	совпал	найти наружу	to learn a fact	To discover, as by asking or investigating.	РАЗОШЁЛСЯ	Go find out.	Иди выясни.	да	определение Wiktionary про другое значение: To discover, as by asking or investigating.
phrasal	A2	look after	присматривать, ухаживать	приглядывать; присматривать; следить; заботиться; ухаживать	совпал	смотреть после	to take care of someone	To follow with the eyes; to look in the direction of (someone or something departing).	РАЗОШЁЛСЯ	Look after her.	Присмотри за ней.	да	определение Wiktionary про другое значение: To follow with the eyes; to look in the direction of (someone or something departing).
phrasal	A2	go on	продолжать; происходить	продолжать; продолжить; происходить	совпал	идти на	to continue doing something	To continue in extent.	совпал	Please go on.	Пожалуйста, продолжай.	да	
phrasal	A2	come on	давай, ну же	выступать; выступить; пошли; давай; ну-ну!	совпал	прийти на	used to tell someone to hurry or try	To encounter, discover; to come upon.	РАЗОШЁЛСЯ	Come on.	Ну давай!	да	определение Wiktionary про другое значение: To encounter, discover; to come upon.
phrasal	A2	put away	убирать на место	убирать; убрать	совпал	положить прочь	to put something back where it belongs	To put (something) in its usual storage place; to place out of the way, clean up.	совпал	Put away the bread.	Отложи хлеб.	нет	пример не подтверждён переводом — проверить значение
phrasal	A2	eat out	есть в кафе, ужинать вне дома	ходить в ресторан; сходить в ресторан; делать куннилингус; вылизывать; сделать куннилингус	РАЗОШЁЛСЯ	есть наружу	to have a meal in a restaurant	To dine at a restaurant or such public place.	совпал	I eat out a lot.	Я часто ем не дома.	да	перевод расходится с Wiktionary: ходить в ресторан; сходить в ресторан; делать куннилингус; вылизывать
phrasal	A2	get back	возвращаться; получить обратно		нечем	взять назад	to return to a place	Return to where one came from.	совпал	Get back here.	Возвращайся сюда!	да	
phrasal	A2	call back	перезвонить	перезвонить	совпал	звонить назад	to telephone someone again	To request someone's return; to bring back or restore; to recall.	РАЗОШЁЛСЯ	He called back.	Он перезвонил.	да	определение Wiktionary про другое значение: To request someone's return; to bring back or restore; to recall.
phrasal	A2	switch on	включать	включать; включить	совпал	переключить на	to turn a device on	To start or enable a device by turning a switch or a lever.	совпал	Leave it switched on.	Оставь его включённым.	да	
phrasal	A2	switch off	выключать	выключать; выключить	совпал	переключить прочь	to turn a device off	To stop or disable a device by turning a switch or a lever.	совпал	Switch off the mic.	Выключи микрофон.	да	
phrasal	A2	give back	возвращать (вещь)	возвращать; отдавать; вернуть; отдать	совпал	дать назад	to return something to its owner	To return, restore (a thing to its original owner or location etc.).	совпал	Give back what you took from him.	Верните ему то, что взяли.	нет	пример не подтверждён переводом — проверить значение
phrasal	A2	tidy up	прибираться		нечем	прибрать вверх	to make a place neat	To make clean, to make satisfactorily neat.	совпал	Tidy up the room.	Приберись в комнате.	да	
phrasal	B1	sit up	сесть прямо; не ложиться спать		нечем	сидеть вверх	to move into a sitting position	To assume a sitting position from a position lying down.	совпал	Sit up straight.	Сядьте прямо.	да	
phrasal	B1	turn up	прибавить (звук); объявиться	объявляться; находиться; делать; громче; выше	совпал	повернуть вверх	to increase the volume	To show up; to appear suddenly or unexpectedly.	РАЗОШЁЛСЯ	Turn up the TV.	Сделай телевизор погромче.	нет	определение Wiktionary про другое значение: To show up; to appear suddenly or unexpectedly.; пример не подтверждён переводом — проверить значение
phrasal	B1	turn down	убавить (звук); отказать	отвергать; отклонять; отказываться; отвергнуть; отклонить	совпал	повернуть вниз	to reduce the volume	To refuse, decline, or deny.	РАЗОШЁЛСЯ	Turn down the volume.	Убавь звук.	да	определение Wiktionary про другое значение: To refuse, decline, or deny.
phrasal	B1	move in	въезжать (в новое жильё)	въезжать; вселяться; въехать; вселиться	совпал	двигаться внутрь	to start living in a new home	To start living or working in a new place.	совпал	I'll move in.	Я перееду туда жить.	нет	пример не подтверждён переводом — проверить значение
phrasal	B1	move out	съезжать (с квартиры)	съезжать; выселяться; выезжать; уезжать; съехать	совпал	двигаться наружу	to leave the home you lived in	To leave one's present location; to leave somewhere for another place.	совпал	I hear you're moving out.	Я слышал, вы съезжаете.	да	
phrasal	B1	hang up	вешать трубку	вешать; повесить; класть трубку; вешать трубку; положить трубку	совпал	вешать вверх	to end a telephone call	To put up to hang.	РАЗОШЁЛСЯ	Hang up.	Кладите трубку.	да	определение Wiktionary про другое значение: To put up to hang.
phrasal	B1	fill in	заполнять (бланк)	давать более полную информацию; замещать; заместить	РАЗОШЁЛСЯ	наполнять внутрь	to write information in a form	To fill; to replace material that is absent or has been removed.	РАЗОШЁЛСЯ	Fill in this form.	Заполните эту форму.	да	определение Wiktionary про другое значение: To fill; to replace material that is absent or has been removed.; перевод расходится с Wiktionary: давать более полную информацию; замещать; заместить
phrasal	B1	hand in	сдавать (работу учителю)	сдать	РАЗОШЁЛСЯ	рука внутрь	to give work to a teacher	To give something to a responsible person.	совпал	Hand in your homework.	Сдавайте домашнюю работу!	да	перевод расходится с Wiktionary: сдать
phrasal	B1	hand out	раздавать	раздавать; раздать	совпал	рука наружу	to give something to each person	To distribute; to give out, either by hand or as if so (figuratively).	совпал	Hand out the maps to us.	Раздайте нам карты.	да	
phrasal	B1	carry on	продолжать	продолжать; продолжаться; продолжить	совпал	нести на	to continue	To continue or proceed as before.	совпал	He carried on lying.	Он продолжал врать.	да	
phrasal	B1	put off	откладывать на потом	откладывать; отложить; отталкивать	совпал	положить прочь	to move something to a later time	To postpone, especially through procrastination.	РАЗОШЁЛСЯ	Don't put off those matters.	Не откладывай эти дела на потом.	да	определение Wiktionary про другое значение: To postpone, especially through procrastination.
phrasal	B1	take care of	заботиться о	заботиться; присматривать; позаботиться; присмотреть; заниматься	совпал	взять заботу о	to look after someone or something	To look after, to care for.	совпал	Take care of him.	Позаботься о нём.	нет	пример не подтверждён переводом — проверить значение
phrasal	B1	look forward to	с нетерпением ждать	предвкушать; ждать с нетерпением; не мочь дождаться	совпал	смотреть вперёд к	to wait for something with pleasure	To anticipate, expect, or wait for, especially with a feeling of approval or pleasure.	совпал	I look forward to it.	Жду с нетерпением.	да	
phrasal	B1	get along	ладить, уживаться	ладить; уживаться; справляться	совпал	взять вдоль	to have a friendly relationship	To interact or coexist well, without argument or trouble.	РАЗОШЁЛСЯ	We all get along.	Мы все ладим.	да	определение Wiktionary про другое значение: To interact or coexist well, without argument or trouble.
phrasal	B1	break down	ломаться (о технике)	ломаться; сломаться; разобрать	совпал	ломать вниз	to stop working	To stop functioning.	совпал	They are breaking down the wall.	Они ломают стену.	да	
phrasal	B1	work out	тренироваться; получаться	рассчитывать; вычислять; рассчитать; вычислить; понимать	совпал	работать наружу	to do physical exercise	To calculate.	РАЗОШЁЛСЯ	I work out.	Я тренируюсь.	да	определение Wiktionary про другое значение: To calculate.
phrasal	B1	figure out	разобраться, понять	разбираться; постигать; разобраться; постигнуть; постичь	совпал	фигура наружу	to understand after thinking	To come to understand; to discover or find a solution; to deduce.	совпал	I can't figure out why.	Я не могу понять почему.	да	
phrasal	B1	point out	указывать, отмечать	указывать; указать; напоминать; привлекать внимание; напомнить	совпал	указать наружу	to make someone notice something	To identify among a group of similar subjects.	РАЗОШЁЛСЯ	She pointed out my mistake.	Она указала мне на ошибку.	да	определение Wiktionary про другое значение: To identify among a group of similar subjects.
phrasal	B1	set up	устанавливать, организовывать	устанавливать; установить; расставлять; располагать; расставить	совпал	ставить вверх	to build or start something	To make ready for use.	РАЗОШЁЛСЯ	We'll set up a meeting.	Мы организуем встречу.	да	определение Wiktionary про другое значение: To make ready for use.
phrasal	B1	take part in	участвовать в		нечем	взять часть в	to join an activity		нечем	I refuse to take part in this.	Я отказываюсь принимать в этом участие.	да	
phrasal	B1	deal with	иметь дело с, решать	рассматривать; рассмотреть	РАЗОШЁЛСЯ	сделка с	to handle a problem or a person	To handle verbally or in some form of artistic expression; to address or discuss as a subject.	совпал	Deal with it.	Разбирайся с этим.	нет	перевод расходится с Wiktionary: рассматривать; рассмотреть; пример не подтверждён переводом — проверить значение
phrasal	B1	bring up	воспитывать; поднимать (тему)	воспитывать; растить; воспитать; вырастить	совпал	принести вверх	to raise a child	Used other than figuratively or idiomatically: see bring,‎ up: To bring from a lower to a higher position.	РАЗОШЁЛСЯ	Bringing up a baby is hard work.	Воспитание детей — тяжелый труд.	да	определение Wiktionary про другое значение: Used other than figuratively or idiomatically: see bring,‎ up: To bring from a lower to a higher position.
phrasal	B1	call off	отменять	отзывать; отменять	совпал	звать прочь	to cancel an event	To recall; to cancel or call a halt to.	совпал	The deal is called off.	Сделка отменяется.	да	
phrasal	B1	check in	регистрироваться (в гостинице, на рейс)	регистрироваться; зарегистрироваться	совпал	проверить внутрь	to report your arrival at a hotel or airport	To announce or record one's own arrival at a hotel, airport etc.	совпал	I'll check in.	Я зарегистрируюсь.	нет	пример не подтверждён переводом — проверить значение
phrasal	B1	check out	выписываться из гостиницы	расплачиваться; расплатиться; брать; взять; проверять	РАЗОШЁЛСЯ	проверить наружу	to pay and leave a hotel	To record the departure or withdrawal of someone or something (such as guests, employees, books, etc.).	РАЗОШЁЛСЯ	I'm checking out.	Я ухожу.	нет	определение Wiktionary про другое значение: To record the departure or withdrawal of someone or something (such as guests, employees, books, etc.).; перевод расходится с Wiktionary: расплачиваться; расплатиться; брать; взять; пример не подтверждён переводом — проверить значение
phrasal	B1	come across	наткнуться, случайно найти	натыкаться; наткнуться; встретиться	совпал	прийти поперёк	to find something by chance	Used other than figuratively or idiomatically: see come,‎ across.	РАЗОШЁЛСЯ	I've never come across such a strange case.	Я ещё никогда не сталкивался с таким странным случаем.	да	определение Wiktionary про другое значение: Used other than figuratively or idiomatically: see come,‎ across.
phrasal	B1	cut down	сократить (потребление)	спиливать; срубать; принижать; умалять; сокращать	совпал	резать вниз	to use less of something	To cut downward.	РАЗОШЁЛСЯ	Cut down the tree.	Сруби дерево.	нет	определение Wiktionary про другое значение: To cut downward.; пример не подтверждён переводом — проверить значение
phrasal	B1	keep on	продолжать делать	продолжать	совпал	держать на	to continue doing something	To persist or continue.	совпал	Keep on trying.	Продолжай попытки.	да	
phrasal	B1	give in	уступить, сдаться	проваливаться; провалиться; подламываться; подломиться; сдаваться	совпал	дать внутрь	to stop resisting	To collapse or fall.	РАЗОШЁЛСЯ	Don't give in.	Не уступай.	да	определение Wiktionary про другое значение: To collapse or fall.
phrasal	B1	go over	просматривать, повторять	хорошо приниматься	РАЗОШЁЛСЯ	идти над	to look at something again carefully	Used other than figuratively or idiomatically: see go,‎ over.	РАЗОШЁЛСЯ	Go over there.	Вон отсюда!	нет	определение Wiktionary про другое значение: Used other than figuratively or idiomatically: see go,‎ over.; перевод расходится с Wiktionary: хорошо приниматься; пример не подтверждён переводом — проверить значение
phrasal	B1	hold on	подождать; держаться	подождать; повременить; держаться; подержать	совпал	держать на	to wait for a short time	To grasp or grip firmly.	РАЗОШЁЛСЯ	Hold on.	Пожалуйста, подождите.	да	определение Wiktionary про другое значение: To grasp or grip firmly.
phrasal	B1	look up	искать (в словаре, справочнике)	улучшаться; искать; смотреть; поискать; посмотреть	совпал	смотреть вверх	to search for information in a book	Used other than figuratively or idiomatically: see look,‎ up.	РАЗОШЁЛСЯ	Look up.	Посмотрите наверх.	нет	определение Wiktionary про другое значение: Used other than figuratively or idiomatically: see look,‎ up.; пример не подтверждён переводом — проверить значение
phrasal	B1	put together	собирать, составлять	собрать; составить; сообразить; собраться с мыслями; вместе взятых	совпал	положить вместе	to make something from parts	To assemble, construct, build, or formulate.	РАЗОШЁЛСЯ	Putting together a dictionary demands an enormous amount of time.	Составление словаря требует огромного количества времени.	да	определение Wiktionary про другое значение: To assemble, construct, build, or formulate.
phrasal	B1	show up	появляться, приходить	объявляться; находиться; появляться; показываться; объявиться	совпал	показать вверх	to arrive somewhere	To appear, arrive, or attend, especially suddenly or erratically.	совпал	He'll show up.	Он появится.	да	
phrasal	B1	sort out	разобраться, уладить	разбираться; разобраться; исправлять; устранять; исправить	совпал	сортировать наружу	to solve a problem or organise things	To clarify by reviewing mentally.	РАЗОШЁЛСЯ	I'm glad it's sorted out.	Я рад, что мы это уладили.	да	определение Wiktionary про другое значение: To clarify by reviewing mentally.
phrasal	B1	take up	заняться (новым делом)	поднимать; принять	РАЗОШЁЛСЯ	взять вверх	to start a new hobby	To lift; to raise. To pick up. To remove (a ground or floor surface.	РАЗОШЁЛСЯ	You should take up knitting.	Тебе стоит заняться вязанием.	да	определение Wiktionary про другое значение: To lift; to raise. To pick up. To remove (a ground or floor surface.; перевод расходится с Wiktionary: поднимать; принять
phrasal	B1	warm up	разогреваться, разминаться	нагреваться; согреваться; греться; нагреться; согреться	совпал	греть вверх	to prepare your body for exercise	To become warmer.	РАЗОШЁЛСЯ	I'm just warming up now.	Я сейчас только разминаюсь.	да	определение Wiktionary про другое значение: To become warmer.
phrasal	B1	slow down	замедляться	замедлять; снижать скорость; замедлить; снизить скорость	совпал	медленно вниз	to go more slowly	To decelerate.	РАЗОШЁЛСЯ	Slow down.	Сбавь скорость.	нет	определение Wiktionary про другое значение: To decelerate.; пример не подтверждён переводом — проверить значение
phrasal	B1	speed up	ускоряться	ускоряться; убыстряться; увеличивать скорость; ускориться; убыстриться	совпал	скорость вверх	to go faster	To accelerate; to increase speed.	РАЗОШЁЛСЯ	It's speeding up.	Он ускоряется.	да	определение Wiktionary про другое значение: To accelerate; to increase speed.
phrasal	B1	break up	расставаться; распадаться	разбиваться; разбиться; расходиться; расставаться; разойтись	совпал	ломать вверх	to end a relationship	To break or separate into pieces.	РАЗОШЁЛСЯ	We should break up.	Нам надо расстаться.	да	определение Wiktionary про другое значение: To break or separate into pieces.
phrasal	B1	make up	мириться; выдумывать	составлять; составить; компенсировать; возмещать; навёрстывать	совпал	делать вверх	to become friends again after a quarrel	To constitute, to compose. To constitute the components of a whole.	РАЗОШЁЛСЯ	He makes up stories.	Он выдумывает истории.	да	определение Wiktionary про другое значение: To constitute, to compose. To constitute the components of a whole.
phrasal	B1	get over	оправиться, пережить	преодолевать; преодолеть; смиряться; свыкаться; смириться	РАЗОШЁЛСЯ	взять над	to recover from something bad	To overcome.	РАЗОШЁЛСЯ	I'll get over it.	Я переживу.	да	определение Wiktionary про другое значение: To overcome.; перевод расходится с Wiktionary: преодолевать; преодолеть; смиряться; свыкаться
phrasal	B1	turn into	превращаться в	превращаться; превратиться; превращать; превратить	совпал	повернуть в	to become something different	To become.	совпал	She turned into a fairy.	Она превратилась в фею.	да	
phrasal	B1	put up	вешать, размещать	ставить	РАЗОШЁЛСЯ	положить вверх	to fix something to a wall	To place in a high location.	РАЗОШЁЛСЯ	Put up your dukes.	Готовьтесь к бою.	нет	определение Wiktionary про другое значение: To place in a high location.; перевод расходится с Wiktionary: ставить; пример не подтверждён переводом — проверить значение
phrasal	B1	take back	забирать назад; брать слова обратно	брать (свои) слова обратно; возвращать в; к; возвращать; возвратить	совпал	взять назад	to return something to a shop	To retract or withdraw (an earlier statement).	РАЗОШЁЛСЯ	Take back what you said.	Возьми свои слова обратно.	да	определение Wiktionary про другое значение: To retract or withdraw (an earlier statement).
phrasal	B1	leave out	пропускать, не включать		нечем	оставить наружу	to not include something	To omit, to not include, to neglect to mention.	совпал	You should leave out these two lines.	Эти две строки вам следует пропустить.	да	
phrasal	B1	join in	присоединяться		нечем	присоединиться внутрь	to take part with other people	To participate, take part or get involved in something.	совпал	Please join in.	Присоединяйтесь, пожалуйста.	да	
phrasal	B1	save up	копить деньги	копить; накопить; скопить	совпал	сберечь вверх	to keep money for something you want	To accumulate money, especially for a specific, planned expenditure.	совпал	We need to save up.	Нам нужно откладывать деньги.	да	
phrasal	B1	pay back	возвращать долг	отплатить; расплатиться	РАЗОШЁЛСЯ	платить назад	to return money you borrowed	To pay (a debt or the lender) so as to provide the entire amount of money owed.	совпал	You should pay back your debts.	Ты должен расплатиться с долгами.	да	перевод расходится с Wiktionary: отплатить; расплатиться
phrasal	B1	try out	испытывать, пробовать	пробовать; экспериментировать; попробовать	совпал	пробовать наружу	to test something new	To test (something) to see how it works or whether it is suitable.	совпал	I wanna try out horse meat.	Я хочу попробовать конину.	нет	пример не подтверждён переводом — проверить значение
phrasal	B1	put back	класть на место		нечем	положить назад	to return something to its place	To return something to its original place.	совпал	Put it back.	Положи его на место!	да	
phrasal	B1	set off	отправляться в путь	отправляться; отправиться	совпал	ставить прочь	to begin a journey	To leave; to set out; to begin a journey or trip.	совпал	He set off to Paris.	Он отправился в Париж.	да	
phrasal	B1	take down	снимать (со стены); записывать	снимать; записывать; убрать; приспустить; уронить	совпал	взять вниз	to remove something that is fixed up	To remove something from a wall or similar vertical surface to which it is fixed.	совпал	Take it down.	Сними это.	да	
phrasal	B1	work on	работать над		нечем	работать на	to spend time improving something	To apply mental or physical effort to (something) in order to shape, form, improve, investigate, solve it.	совпал	I work on Sunday.	Я работаю в воскресенье.	да	
phrasal	B1	drop off	подвезти и высадить; задремать	доставлять; падать; упасть	РАЗОШЁЛСЯ	уронить прочь	to take someone to a place and leave them	To fall asleep.	РАЗОШЁЛСЯ	Could you drop me off?	Ты не мог бы высадить меня?	да	определение Wiktionary про другое значение: To fall asleep.; перевод расходится с Wiktionary: доставлять; падать; упасть
phrasal	B1	hold up	задерживать; поддерживать	ждать; задерживать; приподнимать; выдерживать	совпал	держать вверх	to delay someone or something	To wait or delay.	совпал	Hold up.	Держись.	нет	пример не подтверждён переводом — проверить значение
phrasal	B1	run out of	исчерпать запас, остаться без	заканчиваться; кончаться; иссякать; закончиться; кончиться	РАЗОШЁЛСЯ	выбежать из	to have no more of something	To use up or consume all.	РАЗОШЁЛСЯ	We've run out of soap.	У нас мыло кончилось.	нет	определение Wiktionary про другое значение: To use up or consume all.; перевод расходится с Wiktionary: заканчиваться; кончаться; иссякать; закончиться; пример не подтверждён переводом — проверить значение
phrasal	B2	put up with	терпеть, мириться с	сносить; терпеть	совпал	положить вверх с	to accept something unpleasant without complaining	To endure, tolerate, suffer through, or allow, especially something annoying.	РАЗОШЁЛСЯ	I can't put up with it.	Я терпеть этого не могу.	да	определение Wiktionary про другое значение: To endure, tolerate, suffer through, or allow, especially something annoying.
phrasal	B2	look up to	уважать, брать пример	равняться на; брать пример с	совпал	смотреть вверх к	to admire someone	To show respect or admiration for (someone); to see (someone) as a role model.	совпал	I look up to you.	Я тебя уважаю.	да	
phrasal	B2	look down on	смотреть свысока	презирать; смотреть свысока	совпал	смотреть вниз на	to think you are better than someone	To regard or treat as inferior.	РАЗОШЁЛСЯ	He looks down on her.	Он смотрит на нее свысока.	да	определение Wiktionary про другое значение: To regard or treat as inferior.
phrasal	B2	get away with	сойти с рук	сойти с рук; увиливать; увильнуть	совпал	взять прочь с	to do something wrong and not be punished	To get away, or escape, taking (something) with one.	РАЗОШЁЛСЯ	You won't get away with this.	Это не сойдёт тебе с рук.	нет	определение Wiktionary про другое значение: To get away, or escape, taking (something) with one.; пример не подтверждён переводом — проверить значение
phrasal	B2	come up with	придумать, предложить	придумывать; приходить в голову	совпал	прийти вверх с	to think of an idea or plan	To manage to produce, deliver, or present (something) by inventing, creating, thinking of, or obtaining it.	совпал	I'll come up with something.	Я что-нибудь придумаю.	да	
phrasal	B2	take after	быть похожим (на родителя)	походить; напоминать; быть весь ''в кого-то''; следовать; подражать	совпал	взять после	to look or behave like an older relative	To resemble (a parent or ancestor) in appearance or habit.	РАЗОШЁЛСЯ	She takes after her aunt.	Она похожа на свою тётю.	да	определение Wiktionary про другое значение: To resemble (a parent or ancestor) in appearance or habit.
phrasal	B2	bring about	вызывать, приводить к	вызывать; влечь; повлечь; осуществлять; осуществить	совпал	принести около	to make something happen	To cause to take place.	РАЗОШЁЛСЯ	He tried to bring about peace.	Он прилагал усилия, чтобы принести мир.	нет	определение Wiktionary про другое значение: To cause to take place.; пример не подтверждён переводом — проверить значение
phrasal	B2	carry out	выполнять, проводить	выносить; вынести; выполнять; исполнять; выполнить	совпал	нести наружу	to do a task or a plan	To hold while moving it out.	РАЗОШЁЛСЯ	He was only carrying out orders.	Он лишь выполнял приказы.	да	определение Wiktionary про другое значение: To hold while moving it out.
phrasal	B2	catch up with	догонять	догонять; догнать; навёрстывать; наверстать; нагонять	совпал	поймать вверх с	to reach someone who is ahead	To pick up suddenly.	РАЗОШЁЛСЯ	She catches up with me.	Она меня догоняет.	да	определение Wiktionary про другое значение: To pick up suddenly.
