слово	уровень	ранг	часть речи	перевод(черновик)	варианты перевода	пример	перевод примера	определение	категория	чего не хватает
witness	B1	2289	Noun	свидетельство		I found a witness.	Я нашёл свидетеля.	Attestation of a fact or event; testimony.		категория не определилась (не определилась)
brace	C1	11829	Noun		that which holds tightly → скоба/скрепа; arrangement for producing tension → распорка; structural piece used for support, often → подпорка/раскос/упорка; rope for moving a yard → брас; straps or bands to sustain trousers → подтяжка	Brace yourself.	Приготовься.	A curved instrument or handle of iron or wood, for holding and turning bits, etc.; a bitstock.	objects	перевод не привязывается к значению — риск взять чужое
origination	C2	31758	Noun					The process of bringing something into existence.	actions	нет русского перевода в Wiktionary; пример: слова нет в предложении
way	A1	113	Noun	путь	дорога	This way.	Сюда.	To do with a place or places. A road, a direction, a (physical or conceptual) path from one place to another.	city	многозначное слово, подтвердить перевод нечем (3 разных этимологий; части речи: Noun/Verb/Adverb/Adjective)
junior	B1	2291	Adjective	младший		He's two years my junior.	Он на два года моложе меня.	Low in rank; having a subordinate role, job, or situation.	work	многозначное слово, подтвердить перевод нечем (части речи: Adjective/Noun/Verb)
hacienda	C2	31759	Noun	гасиенда	фазенда; асьенда			A large homestead in a ranch or estate, usually in places where Colonial Spanish culture has had architectural influence.	places	пример: нет предложений в Tatoeba
miracle	B2	4208	Noun	чудо	диво	Life is a miracle.	Жизнь - это чудо.	An event that appears inexplicable by the laws of nature and so is held to be supernatural in origin.		категория не определилась (не определилась)
ordinance	C1	11832	Noun	постановление	указ; распоряжение; ордонанс			A local law, passed by e.g. a city.	city	пример: нет предложений в Tatoeba
split	B1	2298	Verb	расщеплять	расщепить	We split up.	Мы расстались.	To divide fully or partly along a more or less straight line.	actions	многозначное слово, подтвердить перевод нечем (части речи: Verb/Adjective/Noun)
chick	B2	4212	Noun	птенец		She bought a chick.	Она купила птенца.	A young bird.	animals	многозначное слово, подтвердить перевод нечем (3 разных этимологий)
minister	A2	1468	Noun	священник		I'm a minister.	Я пастор.	A person who is trained to preach, to perform religious ceremonies, and to afford pastoral care at a Protestant church.	people	многозначное слово, подтвердить перевод нечем (2 разных этимологий)
legion	C1	11836	Noun	легион		Quinctilius Varus, return my legions!	Квинтилий Вар, верни мои легионы!	The major unit or division of the Roman army, usually comprising 3000 to 6000 infantry soldiers and 100 to 200 cavalry troops.		категория не определилась (не определилась)
hero	B1	2301	Verb	герой	персонаж; аватар	We're heroes.	Мы герои.	To act as a hero (brave person; role model; or protagonist).	actions	перевод примера относится к другому значению
subtotal	C1	11837	Noun					The total for a part of a list of numbers being summed.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
hone	C2	31766	Noun	оселок	точильный камень; брусок	Tom wanted to hone his skills as a photographer.	Том хотел отточить своё мастерство фотографа.	A sharpening stone composed of extra-fine grit used for removing the burr or curl from the blade of a razor or some other edge tool.	objects	многозначное слово, подтвердить перевод нечем (4 разных этимологий)
emergency	A2	1470	Noun	экстренная ситуация	чрезвычайное положение; чрезвычайное происшествие; ч. п	We have an emergency.	У нас экстренный случай.	A situation which poses an immediate risk and which requires urgent attention.		категория не определилась (не определилась)
scale	B1	2302	Noun	гамма		Step on the scale.	Встань на весы.	A ladder; a series of steps; a means of ascending.		многозначное слово, подтвердить перевод нечем (3 разных этимологий); категория не определилась (не определилась)
years	A1	125	Noun			Years passed.	Годы прошли.	A very long time.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
great	A1	132	Adjective	великий	большой	Great idea.	Отличная идея.	Taking much space; large. Much, more than usual.	qualities	пример иллюстрирует другое значение (части речи: Adjective/Noun/Adverb)
favor	B1	2304	Noun	одолжение	услуга; любезность	Do me a favor.	Сделай мне одолжение!	A kind or helpful deed; an instance of voluntarily assisting (someone).		категория не определилась (не определилась)
plenty	B1	2306	Noun	достаток	изобилие; обилие; множество	We have plenty.	Нам достаточно.	A more-than-adequate amount; plenitude; a great deal.		категория не определилась (не определилась)
radiation	B2	4222	Noun	излучение		The ozone layer helps protect us from ultraviolet radiation from the sun.	Озоновый слой помогает защитить нас от ультрафиолетового излучения Солнца.	The shooting forth of anything from a point or surface, like diverging rays of light.		категория не определилась (не определилась)
enjoyable	C1	11843	Adjective	приятный	забавный	That was an enjoyable day; I had a lot of fun.		Pleasant, capable of giving pleasure.	qualities	пример: слова нет в предложении
used	A1	137	Adjective	используемый	использованный	The ground was littered with used syringes left behind by drug abusers.		That is or has or have been used.	qualities	пример: слова нет в предложении
arrival	B2	4223	Noun	прибытие	приезд; приход; прилёт	The early arrival of the bride created a stir.		The act of arriving (reaching a certain place).	actions	пример: слова нет в предложении
row	B1	2311	Noun	ряд		Row me across the river.	Перевезите меня через реку.	A line of objects, often regularly spaced, such as seats in a theatre, vegetable plants in a garden, etc. Specifically.	food	многозначное слово, подтвердить перевод нечем (3 разных этимологий)
inland	C1	11845	Adjective			an inland town		Within the land; relatively remote from the ocean or from open water; interior.	nature	нет русского перевода в Wiktionary; пример: длина английского предложения
going	A1	140	Verb			theatre-going, church-going, movie-going		Attending or visiting (a stated event, place, etc.) habitually or regularly.	actions	нет русского перевода в Wiktionary; пример: слова нет в предложении
catalog	B2	4226	Noun			Send me a new catalog.	Отправь мне новый каталог.	US standard spelling of catalogue.		нет русского перевода в Wiktionary (вынесен на отдельную страницу); категория не определилась (не определилась)
finale	C1	11847	Noun	финал	заключение			The grand end of something, especially of a show or piece of music.	art	пример: слова нет в предложении
earlier	A2	1486	Adjective			We met earlier.	Мы встречались раньше.	Occurring previously.	qualities	нет русского перевода в Wiktionary
dollar	B1	2315	Noun	доллар		I want a dollar.	Я хочу доллар.	Official designation for currency in some parts of the world, including Canada, the United States, Australia, New Zealand, Singapore.		категория не определилась (не определилась)
hist	B2	4227	Noun	тсс	цыц			An instance of an exclamation attracting attention or injunction to be silent.		перевод есть только для другой части речи (Interjection вместо Noun); пример: нет предложений в Tatoeba; многозначное слово, подтвердить перевод нечем (3 разных этимологий); категория не определилась (не определилась)
backward	C1	11849	Adjective	назад		He fell backward.	Он упал навзничь.	Indicating position or direction. Situated toward or at the rear of something.	qualities	многозначное слово, подтвердить перевод нечем (части речи: Adjective/Adverb/Noun/Verb; значений: 5)
let	A1	143	Verb	пускать	позволять; пустить; позволить	Let her play.	Дай ей поиграть.	To allow to, not to prevent.	actions	многозначное слово, подтвердить перевод нечем (2 разных этимологий)
hurry	B1	2316	Noun	спешка		Hurry home.	Быстро домой!	A rushed action.		категория не определилась (не определилась)
rare	B1	2317	Adjective	редкий		This is rare.	Это редкость.	Very uncommon; scarce.	qualities	многозначное слово, подтвердить перевод нечем (4 разных этимологий; части речи: Adjective/Noun/Verb)
charset	C1	11853	Noun					A character set.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
presence	B1	2319	Noun	присутствие		I feel your presence.	Я чувствую твоё присутствие.	The fact or condition of being present, or of being within sight or call, or at hand.		категория не определилась (не определилась)
install	B2	4230	Verb		set something up for use → устанавливать/инсталлировать/монтировать; establish or settle in → помещать/поместить	We'll install spotlights.	Мы установим прожекторы.	To transfer software onto a device's permanent storage and put it in a state where it is ready to be run when needed.	tech	перевод не привязывается к значению — риск взять чужое
intermission	C2	31779	Noun	перерыв	антракт; пауза; перемена	When is the intermission?	Когда перерыв?	A break, especially between two performances or sessions, such as at a concert, play, seminar, or religious assembly.		категория не определилась (не определилась)
year	A1	147	Noun	год	лет; лето; година	Next year.	В следующем году.	A period of time akin to the time taken for the Earth to undergo a full cycle of seasons.	time	многозначное слово, подтвердить перевод нечем (2 разных этимологий; значений: 6)
century	A2	1493	Noun	столетие	век	Ten decades make up a century.	Десять десятилетий составляют столетие.	A period of one hundred consecutive years; often specifically a numbered period with conventional start and end dates, e.g.		категория не определилась (не определилась)
really	A1	151	Adverb		actually → действительно; informally, as an intensifier; very, ver → правда	Not really.	Не совсем.	In a way or manner that is real, not unreal.	qualities	перевод не привязывается к значению — риск взять чужое
tissue	B2	4232	Noun	ткань		This tissue has been irreversibly damaged.	Эта ткань необратимо повреждена.	Thin, woven, gauzelike fabric.		категория не определилась (не определилась)
sen	C1	11859	Noun					A unit of Japanese currency, worth one hundredth of a yen.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
monitor	B1	2324	Noun	наставник	наставница; надзиратель; надзирательница	It's a cheap monitor.	Это дешёвый монитор.	Someone who watches over something; a person in charge of something or someone.	people	перевод примера относится к другому значению
interface	B2	4234	Noun	интерфейс		The interface is very intuitive.	Интерфейс очень интуитивно понятен.	The point of interconnection or contact between entities.		категория не определилась (не определилась)
little	A1	154	Adjective	маленький	малый	Try a little.	Попробуй немножко.	Small, not large, limited, particularly.	qualities	многозначное слово, подтвердить перевод нечем (части речи: Adjective/Adverb/Noun)
thread	A2	1499	Noun		long, thin and flexible form of material → нить/нитка; a theme or idea → тема/нить/мысль; a sequence of connection → нить/связь; (computing) a unit of execution → поток/тред; (Internet) a series of messages → ветка/тема/дискуссия	The thread is thin but sturdy.	Нить тонкая, но прочная.	A cord formed by spinning or twisting together textile fibers or filaments into one or more continuous strands.		перевод не привязывается к значению — риск взять чужое; категория не определилась (не определилась)
statutory	C1	11861	Adjective	законный	установленный			Of, relating to, enacted or regulated by a statute.	qualities	пример: нет предложений в Tatoeba
invader	C2	31784	Noun	захватчик	захватчица; оккупант; оккупантка			One who invades a region.	people	пример: слова нет в предложении
firefox	B2	4237	Noun					A mythical creature in Finnish folklore, a fox with fiery or radiant fur, the reflection of which produces the northern lights.	animals	нет русского перевода в Wiktionary (вынесен на отдельную страницу); пример: латиница в переводе
sine	C2	31786	Noun	синус		The functions sine and cosine take values between -1 and 1 (-1 and 1 included).	Функции синус и косинус принимают значения между -1 и 1 включительно.	In a right triangle, the ratio of the length of the side opposite an angle to the length of the hypotenuse.		категория не определилась (не определилась)
indistinct	A2	1505	Adjective			indistinct sign		Not clearly defined or not having a sharp outline; faint or dim.	qualities	нет русского перевода в Wiktionary; пример: не для детей (в переводе): чёрт
exposure	B2	4240	Noun	подвергание		Avoid exposure to direct sunlight.	Избегать воздействия прямых солнечных лучей.	The condition of being exposed, uncovered, or unprotected.		категория не определилась (не определилась)
say	A1	158	Verb	говорить	сказать	Say yes.	Скажи да!	To pronounce.	communication	многозначное слово, подтвердить перевод нечем (4 разных этимологий; части речи: Verb/Noun/Adverb)
leader	A2	1506	Noun		one having authority → руководитель/вождь/лидер; dominant animal in a group → вожак; pipe to conduct water from the roof → водосточная труба; principal article in a newspaper → передовица	You're a leader.	Ты лидер.	Any person who leads or directs. One who goes first.	people	перевод не привязывается к значению — риск взять чужое
lack	B1	2332	Noun	отсутствие	нехватка; недостаток; нужда	I lack energy.	Мне не хватает энергии.	A deficiency or need (of something desirable or necessary); an absence, want, dearth.		многозначное слово, подтвердить перевод нечем (3 разных этимологий); категория не определилась (не определилась)
button	A2	1511	Noun	пуговица		The button fell off.	Пуговица отпала.	A knob or disc that is passed through a loop or (buttonhole), serving as a fastener.		категория не определилась (не определилась)
trash	B2	4242	Noun	мусор		Pick up your trash.	Подбери свой мусор.	Useless physical things to be discarded; rubbish; refuse.		категория не определилась (не определилась)
philosopher	C1	11869	Noun	философ		Socrates was a philosopher.	Сократ был философом.	A lover of wisdom.		категория не определилась (не определилась)
call	A1	165	Verb	звать	вызывать; кликать; позвать	Call somebody.	Позвони кому-нибудь.	To reach out with one's voice. To request, summon, or beckon.	actions	перевод примера относится к другому значению
object	A2	1513	Noun		thing → объект/предмет/вещь; the goal, end or purpose of something → объект; in grammar → объект/дополнение; person or thing to which an emotion is d → объект; object-oriented programming: instantiati → объект	I object.	Я против.	A thing that has physical existence but is not alive.	objects	перевод не привязывается к значению — риск взять чужое
sheep	B2	4243	Noun		animal → овца/овечка; one who behaves shyly → овечка/ягнёнок/агнец	Sheep bleat.	Собака лает.	A woolly ruminant of the genus Ovis.		перевод не привязывается к значению — риск взять чужое; категория не определилась (не определилась)
devastating	C1	11870	Adjective			That's devastating.	Это ужасно.	Causing devastation.	qualities	нет русского перевода в Wiktionary
place	A1	166	Noun	площадь		Nice place.	Хорошее место.	An area; somewhere within an area. An open space, particularly a city square, market square, or courtyard. A street.	places	пример иллюстрирует другое значение (2 разных этимологий)
steady	B2	4244	Adjective		smooth and not bumpy or with obstruction → устойчивый; regular and even → устойчивый	Steady yourself.	Успокойся.	Firm in standing or position; not tottering or shaking; fixed; firm.	qualities	перевод не привязывается к значению — риск взять чужое
ssh	C1	11874	Verb					To use ssh to connect to a remote computer.	tech	нет русского перевода в Wiktionary; пример: латиница в переводе
billy	B1	2336	Noun			Billy is good at sports.	Билл прекрасный спортсмен.	A fellow, companion, comrade, mate; partner, brother.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
disappeared	B2	4246	Adjective			He disappeared.	Он исчез.	Caused to disappear by someone, often for political reasons.	society	нет русского перевода в Wiktionary
godfather	C1	11876	Noun	крёстный отец	крёстный			A man present at the christening of a baby who promises to help raise the child in a Christian manner.	people	пример: не для детей (в переводе): крест
unzip	C2	31795	Verb			He unzipped his pants.	Он расстегнул молнию на брюках.	To open something using a zipper.	actions	нет русского перевода в Wiktionary
something	A1	170	Adjective	что-то	нечто; кое-что	Do something.	Сделай что-нибудь.	Having a characteristic that the speaker cannot specify.	qualities	перевод есть только для другой части речи (Pronoun вместо Adjective); многозначное слово, подтвердить перевод нечем (части речи: Adjective/Adverb/Verb/Noun)
beg	B2	4247	Verb	просить	попрошайничать; побираться; выпрашивать	I beg you.	Умоляю тебя.	To request the help of someone, often in the form of money.	money	пример иллюстрирует другое значение (3 разных этимологий)
top	A1	172	Noun	вершина	верх; верхушка	Climb to the top.	Поднимитесь на вершину.	The highest or uppermost part of something.		категория не определилась (не определилась)
ben	A2	1517	Noun		ben tree → моринга; oil of ben → мориндовое масло	Ben loves his sister.	Бен любит свою сестру.	A prayer; a petition.		перевод не привязывается к значению — риск взять чужое; категория не определилась (не определилась)
helpful	B1	2340	Adjective	полезный	любезный	a helpful clue		Furnishing help; giving aid; useful.	qualities	пример: слова нет в предложении
hairstyle	C2	31797	Noun	причёска	стрижка	I like your new hairstyle.	Мне нравится твоя новая причёска.	The style in which someone's hair has been cut and arranged.		категория не определилась (не определилась)
number	A1	173	Noun	число	количество	Pick a number.	Выбери число.	Quantity of countable things.		категория не определилась (не определилась)
zoom	B2	4250	Noun	жужжание	гудение; гул	This is the zoom button.	Это кнопка масштабирования.	A humming noise from something moving very fast.	actions	многозначное слово, подтвердить перевод нечем (2 разных этимологий)
brand	A2	1520	Noun	клеймо	тавро	This cow isn't branded.	На этой корове нет клейма.	A mark or scar made by burning with a hot iron, especially to mark cattle or to classify the contents of a cask.		категория не определилась (не определилась)
courtship	C2	31800	Noun	ухаживание				The act of paying court, that is, demonstrating such politeness and respect as is traditionally given at a court.	actions	пример: нет предложений в Tatoeba
pro	A2	1522	Noun	профи	профессионал; спец	I'm a pro.	Я профи.	An advantage of something, especially when contrasted with its disadvantages (cons).		категория не определилась (не определилась)
wire	B1	2347	Noun	провод	проволока	This is a wire.	Это провод.	Metal formed into a thin, even thread, now usually by being drawn through a hole in a steel die.		категория не определилась (не определилась)
madge	C2	31801	Noun					The barn owl.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
response	A2	1523	Noun	ответ		When pushed for an answer, she gave the stock response.		An answer or reply, or something in the nature of an answer or reply.	communication	пример: слова нет в предложении
tell	A1	179	Verb		to pass information → говорить/сказать; to instruct → говорить/сказать/приказать; to discern, notice, identify or distingu → различать/отличать/различить	Tell me.	Скажи мне.	Mental senses related to determining, reckoning, or perceiving To determine the number, amount, or value of.	communication	перевод не привязывается к значению — риск взять чужое
duty	A2	1524	Noun	долг	обязанность	Duty calls.	Долг зовёт.	That which one is morally or legally obligated to do.		категория не определилась (не определилась)
kong	B1	2351	Noun					A set of four identical tiles.		нет русского перевода в Wiktionary; пример: латиница в переводе; категория не определилась (не определилась)
entertainment	A2	1525	Noun	развлечение	забава; потеха; утеха			An activity designed to give pleasure, enjoyment, diversion, amusement, or relaxation to an audience.		пример: слова нет в предложении; категория не определилась (не определилась)
plastic	B1	2355	Noun	пластик	пластмасса	That's plastic.	Это пластик.	A synthetic, solid, hydrocarbon-based polymer, whether thermoplastic or thermosetting.		категория не определилась (не определилась)
positive	A2	1526	Adjective		not negative or neutral → положительный/позитивный; legal: formally laid down → положительный/позитивный; mathematics: greater than zero → положительный; characterised by constructiveness → позитивный/положительный; physics: having more protons than electr → положительный	Stay positive.	Не унывай.	Included, present, characterized by affirmation.	qualities	перевод не привязывается к значению — риск взять чужое
hmm	B1	2356	Verb	хм	гм	Hmm, maybe!	Хм... возможно!	To make a thoughtful humming noise.	actions	перевод есть только для другой части речи (Interjection вместо Verb)
uranium	C1	11890	Noun	уран		The atomic number of uranium is 92.	Порядковый номер урана - 92.	The element with atomic number 92 and symbol U. A radioactive silvery-grey metal in the actinide series.		категория не определилась (не определилась)
ghost	B1	2357	Noun	привидение	призрак; фантом; дух	He followed the ghost.	Он пошёл за привидением.	A disembodied soul; a soul or spirit of a deceased person; a spirit appearing after death.		категория не определилась (не определилась)
vegetation	C1	11891	Noun	растительность		There were large amounts of vegetation in the forest.		Plants, taken collectively.	nature	пример: слова нет в предложении
kryptonite	C2	31807	Noun	криптонит				The one weakness of something or someone that is otherwise invulnerable.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
same	A1	183	Adjective	одинаковый	тот же; тот же самый	Same here.	Я тоже.	Not different or other; not another or others; not different as regards self; selfsame; identical.	family	многозначное слово, подтвердить перевод нечем (2 разных этимологий)
block	A2	1531	Noun	блок		Block the doors.	Заблокируй двери.	A substantial, often approximately cuboid, piece of any substance.	objects	многозначное слово, подтвердить перевод нечем (2 разных этимологий)
insanity	C1	11894	Noun	сумасшествие	безумие; помешательство; умопомрачение	Love is insanity.	Любовь - это сумасшествие.	The state of being insane; madness.		категория не определилась (не определилась)
jun	B1	2364	Noun	чон				A monetary unit of North Korea and formerly of South Korea, equal to one hundredth of a won.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
dioxide	C1	11895	Noun	диоксид	двуокись	Trees use photosynthesis to turn sunlight, carbon dioxide and water into sugars.	С помощью фотосинтеза деревья превращают солнечный свет, диоксид углерода и воду в сахара.	Any oxide containing two oxygen atoms in each molecule.		категория не определилась (не определилась)
found	A1	186	Verb	основывать	учреждать; основать; учредить	File not found.	Файл не найден.	To start (an institution or organization).	actions	многозначное слово, подтвердить перевод нечем (4 разных этимологий)
fan	A2	1535	Noun	веер		I'm a fan.	Я фанат.	A hand-held device consisting of concertinaed material, or slats of material, gathered together at one end.	tech	пример иллюстрирует другое значение (3 разных этимологий)
gameplay	C1	11897	Noun	геймплей				The totality of player experiences during a game, such as the gaming environment and the competitive interaction with other players.	sports	пример: Tatoeba недоступна (offline: нет в кэше)
standoff	C2	31812	Noun	распорка	проставка	It was a standoff.	Это был тупик.	A device which maintains a fixed distance between two objects, especially between a surface and a sign or electrical wiring.	tech	многозначное слово, подтвердить перевод нечем (части речи: Noun/Adjective/Verb)
theory	A2	1536	Noun		a coherent set of statements attempting  → теория; an unproven conjecture → теория/гипотеза; a field of study in mathematics → теория; in logic: a set of axioms and all statem → теория	He has a theory.	У него есть одна теория.	A description of an event or system that is considered to be accurate.		перевод не привязывается к значению — риск взять чужое; категория не определилась (не определилась)
suck	B1	2366	Verb	сосать	всасывать; смоктать	You suck.	Ты отстой.	To use the mouth and lips to pull in (a liquid, especially milk from the breast).	actions	перевод примера относится к другому значению
deploy	C1	11898	Verb	развёртывать	размещать; развернуть; разместить	"Deploy two units of infantry along the enemy's flank," the general ordered.		To prepare and arrange (originally military unit or units, i.e., to array troops) for use.	actions	пример: слова нет в предложении
page	A1	188	Noun	страница	лист	Turn the page.	Переверни страницу.	One of the many pieces of paper bound together within a book or similar document.		категория не определилась (не определилась)
henry	A2	1539	Noun	генри		Henry wants to see you.	Генри хочет тебя видеть.	In the International System of Units, the derived unit of electrical inductance.		категория не определилась (не определилась)
newsletter	B2	4263	Noun	информационный бюллетень	бюллетень; вестник			A periodically sent publication containing current events or the like, generally on a particular topic or geared toward a limited audience.		пример: Tatoeba недоступна (offline: нет в кэше); категория не определилась (не определилась)
camp	A2	1543	Noun	лагерь	табор; стан; кэмп	We'll camp here.	Разобьём лагерь здесь.	An outdoor place acting as temporary accommodation in tents or other simple structures.		категория не определилась (не определилась)
pill	B2	4266	Noun	таблетка	пилюля	Take your pill.	Возьми таблетку.	A small, usually round or cylindrical object designed for easy swallowing, usually containing some sort of medication.		категория не определилась (не определилась)
care	A1	193	Noun	забота		We care.	Нам не всё равно.	Close attention; concern; responsibility.		многозначное слово, подтвердить перевод нечем (2 разных этимологий); категория не определилась (не определилась)
somewhere	A2	1549	Adverb		in some place → где-то/где-нибудь; to some place → куда-то/куда-нибудь	Take me somewhere.	Своди меня куда-нибудь.	In an uncertain or unspecified location.	qualities	перевод не привязывается к значению — риск взять чужое
bin	B1	2371	Noun	контейнер	корзина; бак	The bin is full.	Мусорка полная.	A box, frame, crib, or enclosed place, used as a storage container.	objects	пример иллюстрирует другое значение (5 разных этимологий)
charm	B2	4267	Noun	амулет	талисман; оберег	Use your charm.	Используй своё обаяние.	An object, act or words believed to have magic power (usually carries a positive connotation).	objects	пример иллюстрирует другое значение (2 разных этимологий)
